notice_title,stock_name,notice_time,stock_code,notice_href
"天创时尚发行股份及支付现金购买资产并募集配套资金交易报告书（草案）修订稿,天创时尚关于发行股份及支付现金购买资产并募集配套资金交易报告书（草案）的修订说明公告,天创时尚发行股份及支付现金购买资产并募集配套资金交易报告书（草案）摘要修订稿,天创时尚关于发行股份及支付现金购买资产并募集配套资金申请文件一次反馈意见的回复,天创时尚：招商证券股份有限公司关于广州天创时尚鞋业股份有限公司发行股份及支付现金购买资产并募集配套资金申请文件一次反馈意见的回复之核查意见,天创时尚关于对《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复公告,天创时尚：普华永道中天会计师事务所（特殊普通合伙）就通知书所做回复的专项意见,天创时尚：中通诚资产评估有限公司关于天创时尚项目《中国证监会行政许可项目审查一次反馈意见之通知书》涉及资产评估有关问题的答复,天创时尚：北京市中伦律师事务所关于广州天创时尚鞋业股份有限公司发行股份及支付现金购买资产并募集配套资金的补充法律意见书（二）",天创时尚,2017-09-11,603608,"http://notice.10jqka.com.cn/api/pdf/ac2f7daa740cf857.pdf,http://notice.10jqka.com.cn/api/pdf/a0982b952a3ae1a1.pdf,http://notice.10jqka.com.cn/api/pdf/7dbbd2bd4a3b2172.pdf,http://notice.10jqka.com.cn/api/pdf/2800f24e7698910f.pdf,http://notice.10jqka.com.cn/api/pdf/33f9600e04437486.pdf,http://notice.10jqka.com.cn/api/pdf/290a906b5fadc779.pdf,http://notice.10jqka.com.cn/api/pdf/b7b9d6460e2a1358.pdf,http://notice.10jqka.com.cn/api/pdf/9184da413fa57559.pdf,http://notice.10jqka.com.cn/api/pdf/edaa09a2469e36ee.pdf"
"再升科技第三届董事会第六次会议决议公告,再升科技关于新增2017年度日常关联交易预计的公告,再升科技关于对外投资的公告,再升科技第三届监事会第五次会议决议公告,再升科技独立董事关于公司新增2017年度日常关联交易的独立意见",再升科技,2017-09-11,603601,"http://notice.10jqka.com.cn/api/pdf/a0665d01006def5f.pdf,http://notice.10jqka.com.cn/api/pdf/160f21942e02c4d4.pdf,http://notice.10jqka.com.cn/api/pdf/54a468a59a3cbfef.pdf,http://notice.10jqka.com.cn/api/pdf/b89f4647caf3e2ad.pdf,http://notice.10jqka.com.cn/api/pdf/51759df55c588fe5.pdf"
吉比特：厦门吉比特网络技术股份有限公司2017年9月5日至9月7日投资者调研沟通活动纪要,吉比特,2017-09-11,603444,http://notice.10jqka.com.cn/api/pdf/94d72390e36df4b1.pdf
日出东方关于公司认购私募基金份额的公告,日出东方,2017-09-11,603366,http://notice.10jqka.com.cn/api/pdf/263e099994b330fc.pdf
中材节能发行股份购买资产停牌进展公告,中材节能,2017-09-11,603126,http://notice.10jqka.com.cn/api/pdf/efd1c5220a7647b3.pdf
"泛微网络第三届董事会第四次会议决议公告,泛微网络重大事项停牌公告",泛微网络,2017-09-11,603039,"http://notice.10jqka.com.cn/api/pdf/5fa19dc26744645c.pdf,http://notice.10jqka.com.cn/api/pdf/a03135816b1740fe.pdf"
关于招商局能源运输股份有限公司的重大资产重组预案审核意见函,招商轮船,2017-09-11,601872,http://notice.10jqka.com.cn/api/pdf/e28701f2c23e1aee.pdf
中国电建第一期优先股股息派发实施公告,中国电建,2017-09-11,601669,http://notice.10jqka.com.cn/api/pdf/2b7cf49608001667.pdf
三江购物：“投资者保护·明规则、识风险”案例——打探消息没好处，炒股还需走正路（6-4）,三江购物,2017-09-11,601116,http://notice.10jqka.com.cn/api/pdf/8e2dd2aa09536913.pdf
开滦股份关于“12开滦01”票面利率不调整的公告,开滦股份,2017-09-11,600997,http://notice.10jqka.com.cn/api/pdf/b1e335825492c147.pdf
中材国际重大事项复牌公告,中材国际,2017-09-11,600970,http://notice.10jqka.com.cn/api/pdf/3b2de854d56a4f1b.pdf
新疆众和：新疆众和机构投资者调研-2017,新疆众和,2017-09-11,600888,http://notice.10jqka.com.cn/api/pdf/b665cdea5b0f85d2.pdf
"哈投股份：江海证券有限公司当年累计新增借款超过上年末净资产的百分之二十公告,哈投股份关于全资子公司江海证券有限公司披露当年累计新增借款超过其上年末净资产百分之二十的公告的提示性公告",哈投股份,2017-09-11,600864,"http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600864_20170911_2.pdf,http://notice.10jqka.com.cn/api/pdf/c564063e6b52f593.pdf"
西藏旅游关于股东《简式权益变动报告书》的补充公告,西藏旅游,2017-09-11,600749,http://notice.10jqka.com.cn/api/pdf/4cf6c321c7141a0f.pdf
华远地产2015年非公开发行公司债券2017年付息公告,华远地产,2017-09-11,600743,http://notice.10jqka.com.cn/api/pdf/bb707a16ef88c856.pdf
祁连山重大事项复牌公告,祁连山,2017-09-11,600720,http://notice.10jqka.com.cn/api/pdf/69a09ab4f0734fbc.pdf
工大高新发行股份购买资产停牌进展公告,工大高新,2017-09-11,600701,http://notice.10jqka.com.cn/api/pdf/670c44cc73f0e287.pdf
中华企业关于“13中企债”投资者回售实施的第二次提示性公告,中华企业,2017-09-11,600675,http://notice.10jqka.com.cn/api/pdf/1f5ae48b06cfdf7b.pdf
爱建集团关于2017年中期现金分红说明会预告公告,爱建集团,2017-09-11,600643,http://notice.10jqka.com.cn/api/pdf/9f2bf26b06c47eea.pdf
"亿晶光电关于为全资子公司常州亿晶光电科技有限公司提供担保的公告,亿晶光电关于召开2017年第一次临时股东大会的通知,亿晶光电独立董事关于公司为全资子公司提供担保的独立意见,亿晶光电第五届董事会第二十七次会议决议公告",亿晶光电,2017-09-11,600537,"http://notice.10jqka.com.cn/api/pdf/3b3bb83e2bc93258.pdf,http://notice.10jqka.com.cn/api/pdf/3c30bc04ca9c8db9.pdf,http://notice.10jqka.com.cn/api/pdf/cfef0a76d251fa4b.pdf,http://notice.10jqka.com.cn/api/pdf/53b4caa5bb8ad53a.pdf"
"黑牡丹关于“13牡丹01”公司债券回售的公告,黑牡丹关于“13牡丹01”公司债券票面利率不调整的公告",黑牡丹,2017-09-11,600510,"http://notice.10jqka.com.cn/api/pdf/5075aff895a47848.pdf,http://notice.10jqka.com.cn/api/pdf/535b96a266a21ba.pdf"
安徽水利关于中标泸溪县浦市古镇保护及旅游开发PPP项目的补充公告,安徽水利,2017-09-11,600502,http://notice.10jqka.com.cn/api/pdf/4e3375406c448e90.pdf
宁夏建材重大事项复牌公告,宁夏建材,2017-09-11,600449,http://notice.10jqka.com.cn/api/pdf/cd524610d984d87b.pdf
通威股份2017年前三季度业绩预增公告,通威股份,2017-09-11,600438,http://notice.10jqka.com.cn/api/pdf/191f297019425197.pdf
"平高电气第六届董事会第二十九次临时会议决议公告,平高电气独立董事候选人声明（李涛）,平高电气独立董事关于推荐和提名第七届董事会董事候选人的独立意见,平高电气独立董事提名人声明,平高电气独立董事候选人声明（王天也）,平高电气关于召开2017年第一次临时股东大会的通知,平高电气第六届监事会第十六次会议决议公告,平高电气独立董事候选人声明（吴翊）",平高电气,2017-09-11,600312,"http://notice.10jqka.com.cn/api/pdf/892cc3230d1f0f48.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600312_20170911_5.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600312_20170911_2.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600312_20170911_3.pdf,http://notice.10jqka.com.cn/api/pdf/362ebd3d602fca22.pdf,http://notice.10jqka.com.cn/api/pdf/4cf36d365f34f70.pdf,http://notice.10jqka.com.cn/api/pdf/8109a9d69e0a27fc.pdf,http://notice.10jqka.com.cn/api/pdf/a050b47967759768.pdf"
广汇能源2017年公开发行公司债券（第二期）发行结果公告,广汇能源,2017-09-11,600256,http://notice.10jqka.com.cn/api/pdf/e6b49ee41b2087ca.pdf
"南山铝业2017年度配股公开发行证券预案,南山铝业第九届监事会第三次会议决议公告,南山铝业未来三年（2017-2019年）分红回报规划的公告,南山铝业前次募集资金使用情况报告,南山铝业2017年度配股募集资金使用可行性分析报告,南山铝业：关于山东南山铝业股份有限公司2014-2016年度审计报告,南山铝业摊薄即期回报的风险提示及填补措施的公告,南山铝业关于保障公司填补即期回报措施切实履行的承诺的公告,南山铝业董事会关于公司符合配股条件的说明,南山铝业第九届董事会第四次会议决议公告,南山铝业关于控股股东承诺全额认购可获配股份的公告,南山铝业独立董事关于第九届董事会第四次会议相关事项的独立意见,南山铝业：关于山东南山铝业股份有限公司前次募集资金使用情况鉴证报告",南山铝业,2017-09-11,600219,"http://notice.10jqka.com.cn/api/pdf/fb1715eab4bb29f7.pdf,http://notice.10jqka.com.cn/api/pdf/393b76e38f7c0449.pdf,http://notice.10jqka.com.cn/api/pdf/585e288fcbd372de.pdf,http://notice.10jqka.com.cn/api/pdf/1f62d545f526b99.pdf,http://notice.10jqka.com.cn/api/pdf/c3e9c97fcb61da58.pdf,http://notice.10jqka.com.cn/api/pdf/34c3b9f851ac540c.pdf,http://notice.10jqka.com.cn/api/pdf/9c0d72f93b0188e7.pdf,http://notice.10jqka.com.cn/api/pdf/6113b5f95115c8ff.pdf,http://notice.10jqka.com.cn/api/pdf/96923e4f5204c466.pdf,http://notice.10jqka.com.cn/api/pdf/f551880556cb20d6.pdf,http://notice.10jqka.com.cn/api/pdf/c58bf3f7eb2c7b93.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600219_20170911_3.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600219_20170911_6.pdf"
"中牧股份2017年第二次临时股东大会法律意见书,中牧股份2017年第二次临时股东大会决议公告,中牧股份第七届董事会2017年第一次临时会议决议公告,中牧股份第七届监事会2017年第一次临时会议决议公告",中牧股份,2017-09-11,600195,"http://notice.10jqka.com.cn/api/pdf/e0c34c9ef9969930.pdf,http://notice.10jqka.com.cn/api/pdf/286822373fc5f675.pdf,http://notice.10jqka.com.cn/api/pdf/1a5fbe0f3c4eb7b6.pdf,http://notice.10jqka.com.cn/api/pdf/8e1b038e69d3e627.pdf"
中国巨石重大事项复牌公告,中国巨石,2017-09-11,600176,http://notice.10jqka.com.cn/api/pdf/1de08693cd1382e1.pdf
东方金钰关于申请撤回向合格投资者非公开发行公司债券申请文件的公告,东方金钰,2017-09-11,600086,http://notice.10jqka.com.cn/api/pdf/ec5e11aa6d62f82a.pdf
保千里第七届董事会第四十次会议决议公告,保千里,2017-09-11,600074,http://notice.10jqka.com.cn/api/pdf/3b56f0bd1d240585.pdf
"九鼎投资关于子公司收到警示函的公告,九鼎投资关于在管基金参股公司首次公开发行股票获得中国证监会核准批复的公告",九鼎投资,2017-09-11,600053,"http://notice.10jqka.com.cn/api/pdf/5c3a0316ca7a87a1.pdf,http://notice.10jqka.com.cn/api/pdf/3740e1956854f67b.pdf"
"金陵体育：逸信汇富1号金陵体育私募投资基金基金合同,金陵体育：国浩律师（上海）事务所关于公司实施第一期员工持股计划的法律意见书",金陵体育,2017-09-11,300651,"http://notice.10jqka.com.cn/api/pdf/dc6e6e075dab7d7e.pdf,http://notice.10jqka.com.cn/api/pdf/ee3dd46375fc974d.pdf"
杭州园林：2017年半年度权益分派实施公告,杭州园林,2017-09-11,300649,http://notice.10jqka.com.cn/api/pdf/ba45d64f7c1ba1cc.pdf
凯普生物：广发证券股份有限公司关于公司2017年半年度跟踪报告,凯普生物,2017-09-11,300639,http://notice.10jqka.com.cn/api/pdf/c7ad7ee79eab5379.pdf
"达安股份：2017年第一次临时股东大会决议公告,达安股份：2017年第一次临时股东大会法律意见书,达安股份：公司章程（2017年8月）",达安股份,2017-09-11,300635,"http://notice.10jqka.com.cn/api/pdf/e87e5014c554a630.pdf,http://notice.10jqka.com.cn/api/pdf/1524de7609509354.pdf,http://notice.10jqka.com.cn/api/pdf/e1e07a5f9554a30d.pdf"
华测导航：2017年9月8日投资者关系活动记录表,华测导航,2017-09-11,300627,http://notice.10jqka.com.cn/api/pdf/d9a1ca8c7ce5a3da.pdf
"捷捷微电：关于完成监事会换届选举的公告,捷捷微电：2017年度第二次临时股东大会的法律意见,捷捷微电：独立董事对公司第三届董事会第一次会议审议有关事项的独立意见,捷捷微电：关于完成董事会换届选举的公告,捷捷微电：关于变更会计政策的公告,捷捷微电：关于聘任董事会秘书和高级管理人员的公告,捷捷微电：监事会决议公告,捷捷微电：董事会决议公告,捷捷微电：2017年度第二次临时股东大会决议公告",捷捷微电,2017-09-11,300623,"http://notice.10jqka.com.cn/api/pdf/8259f72449dce290.pdf,http://notice.10jqka.com.cn/api/pdf/35d3204b807c8f86.pdf,http://notice.10jqka.com.cn/api/pdf/5f8f1426ffcf5a8.pdf,http://notice.10jqka.com.cn/api/pdf/a63bfa1dd6dfb57c.pdf,http://notice.10jqka.com.cn/api/pdf/f877634c5c188756.pdf,http://notice.10jqka.com.cn/api/pdf/eb7d6cf107178111.pdf,http://notice.10jqka.com.cn/api/pdf/18ee400e99d65cc5.pdf,http://notice.10jqka.com.cn/api/pdf/60f3943ab478eefa.pdf,http://notice.10jqka.com.cn/api/pdf/9db3c97d06637b4d.pdf"
恒锋信息：中泰证券股份有限公司关于公司2017年上半年持续督导跟踪报告,恒锋信息,2017-09-11,300605,http://notice.10jqka.com.cn/api/pdf/3da9a04d8ce24525.pdf
华凯创意：第二届董事会第四次会议决议公告,华凯创意,2017-09-11,300592,http://notice.10jqka.com.cn/api/pdf/7367447b825e41fa.pdf
移为通信：关于重大资产重组停牌的进展公告,移为通信,2017-09-11,300590,http://notice.10jqka.com.cn/api/pdf/7accc575b5df0ac6.pdf
"赛托生物：关于董事会换届选举并征集候选人公告,赛托生物：关于监事会换届选举并征集候选人公告",赛托生物,2017-09-11,300583,"http://notice.10jqka.com.cn/api/pdf/9e196ef91788ee57.pdf,http://notice.10jqka.com.cn/api/pdf/70795a03615a4301.pdf"
英飞特：国信证券股份有限公司关于公司2017年现场检查报告,英飞特,2017-09-11,300582,http://notice.10jqka.com.cn/api/pdf/debd8f936caa20f7.pdf
"星源材质：2017年9月8日投资者关系活动记录表,星源材质：2017年9月11日投资者关系活动记录表",星源材质,2017-09-11,300568,"http://notice.10jqka.com.cn/api/pdf/ea5f8dd99906f872.pdf,http://notice.10jqka.com.cn/api/pdf/ccd7eba6318c7870.pdf"
佳发安泰：关于使用自有资金和闲置募集资金进行现金管理的进展公告,佳发安泰,2017-09-11,300559,http://notice.10jqka.com.cn/api/pdf/8529a3e9154ee35f.pdf
notice_title,stock_name,notice_time,stock_code,notice_href
博敏电子重大事项停牌进展公告,博敏电子,2017-09-11,603936,http://notice.10jqka.com.cn/api/pdf/71211c4146cbeed5.pdf
能科股份关于签订合作备忘录的公告,能科股份,2017-09-11,603859,http://notice.10jqka.com.cn/api/pdf/a92c5fa2a823e919.pdf
嘉澳环保2017年第四次临时股东大会会议材料,嘉澳环保,2017-09-11,603822,http://notice.10jqka.com.cn/api/pdf/8bce2fb8d8e0cbf2.pdf
"塞力斯：关于武汉塞力斯医疗科技股份有限公司非公开发行股票申请文件一次补充反馈意见的回复,塞力斯关于非公开发行股票申请文件一次补充反馈意见回复的公告",塞力斯,2017-09-11,603716,"http://notice.10jqka.com.cn/api/pdf/15f5dc2f0887e5b5.pdf,http://notice.10jqka.com.cn/api/pdf/521a32171ff55e4.pdf"
南威软件关于预中标智慧福清暨高清视频监控（天网）项目（一期）的提示性公告,南威软件,2017-09-11,603636,http://notice.10jqka.com.cn/api/pdf/e4ea376202e9e6f2.pdf
"天创时尚发行股份及支付现金购买资产并募集配套资金交易报告书（草案）修订稿,天创时尚关于发行股份及支付现金购买资产并募集配套资金交易报告书（草案）的修订说明公告,天创时尚发行股份及支付现金购买资产并募集配套资金交易报告书（草案）摘要修订稿,天创时尚关于发行股份及支付现金购买资产并募集配套资金申请文件一次反馈意见的回复,天创时尚：招商证券股份有限公司关于广州天创时尚鞋业股份有限公司发行股份及支付现金购买资产并募集配套资金申请文件一次反馈意见的回复之核查意见,天创时尚关于对《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复公告,天创时尚：普华永道中天会计师事务所（特殊普通合伙）就通知书所做回复的专项意见,天创时尚：中通诚资产评估有限公司关于天创时尚项目《中国证监会行政许可项目审查一次反馈意见之通知书》涉及资产评估有关问题的答复,天创时尚：北京市中伦律师事务所关于广州天创时尚鞋业股份有限公司发行股份及支付现金购买资产并募集配套资金的补充法律意见书（二）",天创时尚,2017-09-11,603608,"http://notice.10jqka.com.cn/api/pdf/ac2f7daa740cf857.pdf,http://notice.10jqka.com.cn/api/pdf/a0982b952a3ae1a1.pdf,http://notice.10jqka.com.cn/api/pdf/7dbbd2bd4a3b2172.pdf,http://notice.10jqka.com.cn/api/pdf/2800f24e7698910f.pdf,http://notice.10jqka.com.cn/api/pdf/33f9600e04437486.pdf,http://notice.10jqka.com.cn/api/pdf/290a906b5fadc779.pdf,http://notice.10jqka.com.cn/api/pdf/b7b9d6460e2a1358.pdf,http://notice.10jqka.com.cn/api/pdf/9184da413fa57559.pdf,http://notice.10jqka.com.cn/api/pdf/edaa09a2469e36ee.pdf"
"再升科技第三届董事会第六次会议决议公告,再升科技关于新增2017年度日常关联交易预计的公告,再升科技关于对外投资的公告,再升科技第三届监事会第五次会议决议公告,再升科技独立董事关于公司新增2017年度日常关联交易的独立意见",再升科技,2017-09-11,603601,"http://notice.10jqka.com.cn/api/pdf/a0665d01006def5f.pdf,http://notice.10jqka.com.cn/api/pdf/160f21942e02c4d4.pdf,http://notice.10jqka.com.cn/api/pdf/54a468a59a3cbfef.pdf,http://notice.10jqka.com.cn/api/pdf/b89f4647caf3e2ad.pdf,http://notice.10jqka.com.cn/api/pdf/51759df55c588fe5.pdf"
吉比特：厦门吉比特网络技术股份有限公司2017年9月5日至9月7日投资者调研沟通活动纪要,吉比特,2017-09-11,603444,http://notice.10jqka.com.cn/api/pdf/94d72390e36df4b1.pdf
日出东方关于公司认购私募基金份额的公告,日出东方,2017-09-11,603366,http://notice.10jqka.com.cn/api/pdf/263e099994b330fc.pdf
中材节能发行股份购买资产停牌进展公告,中材节能,2017-09-11,603126,http://notice.10jqka.com.cn/api/pdf/efd1c5220a7647b3.pdf
"泛微网络第三届董事会第四次会议决议公告,泛微网络重大事项停牌公告",泛微网络,2017-09-11,603039,"http://notice.10jqka.com.cn/api/pdf/5fa19dc26744645c.pdf,http://notice.10jqka.com.cn/api/pdf/a03135816b1740fe.pdf"
关于招商局能源运输股份有限公司的重大资产重组预案审核意见函,招商轮船,2017-09-11,601872,http://notice.10jqka.com.cn/api/pdf/e28701f2c23e1aee.pdf
中国电建第一期优先股股息派发实施公告,中国电建,2017-09-11,601669,http://notice.10jqka.com.cn/api/pdf/2b7cf49608001667.pdf
三江购物：“投资者保护·明规则、识风险”案例——打探消息没好处，炒股还需走正路（6-4）,三江购物,2017-09-11,601116,http://notice.10jqka.com.cn/api/pdf/8e2dd2aa09536913.pdf
开滦股份关于“12开滦01”票面利率不调整的公告,开滦股份,2017-09-11,600997,http://notice.10jqka.com.cn/api/pdf/b1e335825492c147.pdf
中材国际重大事项复牌公告,中材国际,2017-09-11,600970,http://notice.10jqka.com.cn/api/pdf/3b2de854d56a4f1b.pdf
新疆众和：新疆众和机构投资者调研-2017,新疆众和,2017-09-11,600888,http://notice.10jqka.com.cn/api/pdf/b665cdea5b0f85d2.pdf
"哈投股份：江海证券有限公司当年累计新增借款超过上年末净资产的百分之二十公告,哈投股份关于全资子公司江海证券有限公司披露当年累计新增借款超过其上年末净资产百分之二十的公告的提示性公告",哈投股份,2017-09-11,600864,"http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600864_20170911_2.pdf,http://notice.10jqka.com.cn/api/pdf/c564063e6b52f593.pdf"
西藏旅游关于股东《简式权益变动报告书》的补充公告,西藏旅游,2017-09-11,600749,http://notice.10jqka.com.cn/api/pdf/4cf6c321c7141a0f.pdf
华远地产2015年非公开发行公司债券2017年付息公告,华远地产,2017-09-11,600743,http://notice.10jqka.com.cn/api/pdf/bb707a16ef88c856.pdf
祁连山重大事项复牌公告,祁连山,2017-09-11,600720,http://notice.10jqka.com.cn/api/pdf/69a09ab4f0734fbc.pdf
工大高新发行股份购买资产停牌进展公告,工大高新,2017-09-11,600701,http://notice.10jqka.com.cn/api/pdf/670c44cc73f0e287.pdf
中华企业关于“13中企债”投资者回售实施的第二次提示性公告,中华企业,2017-09-11,600675,http://notice.10jqka.com.cn/api/pdf/1f5ae48b06cfdf7b.pdf
爱建集团关于2017年中期现金分红说明会预告公告,爱建集团,2017-09-11,600643,http://notice.10jqka.com.cn/api/pdf/9f2bf26b06c47eea.pdf
"亿晶光电关于为全资子公司常州亿晶光电科技有限公司提供担保的公告,亿晶光电关于召开2017年第一次临时股东大会的通知,亿晶光电独立董事关于公司为全资子公司提供担保的独立意见,亿晶光电第五届董事会第二十七次会议决议公告",亿晶光电,2017-09-11,600537,"http://notice.10jqka.com.cn/api/pdf/3b3bb83e2bc93258.pdf,http://notice.10jqka.com.cn/api/pdf/3c30bc04ca9c8db9.pdf,http://notice.10jqka.com.cn/api/pdf/cfef0a76d251fa4b.pdf,http://notice.10jqka.com.cn/api/pdf/53b4caa5bb8ad53a.pdf"
"黑牡丹关于“13牡丹01”公司债券回售的公告,黑牡丹关于“13牡丹01”公司债券票面利率不调整的公告",黑牡丹,2017-09-11,600510,"http://notice.10jqka.com.cn/api/pdf/5075aff895a47848.pdf,http://notice.10jqka.com.cn/api/pdf/535b96a266a21ba.pdf"
安徽水利关于中标泸溪县浦市古镇保护及旅游开发PPP项目的补充公告,安徽水利,2017-09-11,600502,http://notice.10jqka.com.cn/api/pdf/4e3375406c448e90.pdf
宁夏建材重大事项复牌公告,宁夏建材,2017-09-11,600449,http://notice.10jqka.com.cn/api/pdf/cd524610d984d87b.pdf
通威股份2017年前三季度业绩预增公告,通威股份,2017-09-11,600438,http://notice.10jqka.com.cn/api/pdf/191f297019425197.pdf
"平高电气第六届董事会第二十九次临时会议决议公告,平高电气独立董事候选人声明（李涛）,平高电气独立董事关于推荐和提名第七届董事会董事候选人的独立意见,平高电气独立董事提名人声明,平高电气独立董事候选人声明（王天也）,平高电气关于召开2017年第一次临时股东大会的通知,平高电气第六届监事会第十六次会议决议公告,平高电气独立董事候选人声明（吴翊）",平高电气,2017-09-11,600312,"http://notice.10jqka.com.cn/api/pdf/892cc3230d1f0f48.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600312_20170911_5.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600312_20170911_2.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600312_20170911_3.pdf,http://notice.10jqka.com.cn/api/pdf/362ebd3d602fca22.pdf,http://notice.10jqka.com.cn/api/pdf/4cf36d365f34f70.pdf,http://notice.10jqka.com.cn/api/pdf/8109a9d69e0a27fc.pdf,http://notice.10jqka.com.cn/api/pdf/a050b47967759768.pdf"
广汇能源2017年公开发行公司债券（第二期）发行结果公告,广汇能源,2017-09-11,600256,http://notice.10jqka.com.cn/api/pdf/e6b49ee41b2087ca.pdf
"南山铝业2017年度配股公开发行证券预案,南山铝业第九届监事会第三次会议决议公告,南山铝业未来三年（2017-2019年）分红回报规划的公告,南山铝业前次募集资金使用情况报告,南山铝业2017年度配股募集资金使用可行性分析报告,南山铝业：关于山东南山铝业股份有限公司2014-2016年度审计报告,南山铝业摊薄即期回报的风险提示及填补措施的公告,南山铝业关于保障公司填补即期回报措施切实履行的承诺的公告,南山铝业董事会关于公司符合配股条件的说明,南山铝业第九届董事会第四次会议决议公告,南山铝业关于控股股东承诺全额认购可获配股份的公告,南山铝业独立董事关于第九届董事会第四次会议相关事项的独立意见,南山铝业：关于山东南山铝业股份有限公司前次募集资金使用情况鉴证报告",南山铝业,2017-09-11,600219,"http://notice.10jqka.com.cn/api/pdf/fb1715eab4bb29f7.pdf,http://notice.10jqka.com.cn/api/pdf/393b76e38f7c0449.pdf,http://notice.10jqka.com.cn/api/pdf/585e288fcbd372de.pdf,http://notice.10jqka.com.cn/api/pdf/1f62d545f526b99.pdf,http://notice.10jqka.com.cn/api/pdf/c3e9c97fcb61da58.pdf,http://notice.10jqka.com.cn/api/pdf/34c3b9f851ac540c.pdf,http://notice.10jqka.com.cn/api/pdf/9c0d72f93b0188e7.pdf,http://notice.10jqka.com.cn/api/pdf/6113b5f95115c8ff.pdf,http://notice.10jqka.com.cn/api/pdf/96923e4f5204c466.pdf,http://notice.10jqka.com.cn/api/pdf/f551880556cb20d6.pdf,http://notice.10jqka.com.cn/api/pdf/c58bf3f7eb2c7b93.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600219_20170911_3.pdf,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-09-11/600219_20170911_6.pdf"
"中牧股份2017年第二次临时股东大会法律意见书,中牧股份2017年第二次临时股东大会决议公告,中牧股份第七届董事会2017年第一次临时会议决议公告,中牧股份第七届监事会2017年第一次临时会议决议公告",中牧股份,2017-09-11,600195,"http://notice.10jqka.com.cn/api/pdf/e0c34c9ef9969930.pdf,http://notice.10jqka.com.cn/api/pdf/286822373fc5f675.pdf,http://notice.10jqka.com.cn/api/pdf/1a5fbe0f3c4eb7b6.pdf,http://notice.10jqka.com.cn/api/pdf/8e1b038e69d3e627.pdf"
中国巨石重大事项复牌公告,中国巨石,2017-09-11,600176,http://notice.10jqka.com.cn/api/pdf/1de08693cd1382e1.pdf
东方金钰关于申请撤回向合格投资者非公开发行公司债券申请文件的公告,东方金钰,2017-09-11,600086,http://notice.10jqka.com.cn/api/pdf/ec5e11aa6d62f82a.pdf
保千里第七届董事会第四十次会议决议公告,保千里,2017-09-11,600074,http://notice.10jqka.com.cn/api/pdf/3b56f0bd1d240585.pdf
"九鼎投资关于子公司收到警示函的公告,九鼎投资关于在管基金参股公司首次公开发行股票获得中国证监会核准批复的公告",九鼎投资,2017-09-11,600053,"http://notice.10jqka.com.cn/api/pdf/5c3a0316ca7a87a1.pdf,http://notice.10jqka.com.cn/api/pdf/3740e1956854f67b.pdf"
"金陵体育：逸信汇富1号金陵体育私募投资基金基金合同,金陵体育：国浩律师（上海）事务所关于公司实施第一期员工持股计划的法律意见书",金陵体育,2017-09-11,300651,"http://notice.10jqka.com.cn/api/pdf/dc6e6e075dab7d7e.pdf,http://notice.10jqka.com.cn/api/pdf/ee3dd46375fc974d.pdf"
杭州园林：2017年半年度权益分派实施公告,杭州园林,2017-09-11,300649,http://notice.10jqka.com.cn/api/pdf/ba45d64f7c1ba1cc.pdf
凯普生物：广发证券股份有限公司关于公司2017年半年度跟踪报告,凯普生物,2017-09-11,300639,http://notice.10jqka.com.cn/api/pdf/c7ad7ee79eab5379.pdf
"达安股份：2017年第一次临时股东大会决议公告,达安股份：2017年第一次临时股东大会法律意见书,达安股份：公司章程（2017年8月）",达安股份,2017-09-11,300635,"http://notice.10jqka.com.cn/api/pdf/e87e5014c554a630.pdf,http://notice.10jqka.com.cn/api/pdf/1524de7609509354.pdf,http://notice.10jqka.com.cn/api/pdf/e1e07a5f9554a30d.pdf"
华测导航：2017年9月8日投资者关系活动记录表,华测导航,2017-09-11,300627,http://notice.10jqka.com.cn/api/pdf/d9a1ca8c7ce5a3da.pdf
